z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
104	Rutherfordium	Rf	4	7	261	18.1000003815	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
111	Roentgenium	Rg	11	7	272	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
45	Rhodium	Rh	9	5	102.90599823	12.4099998474	13.9899997711	135	-1	135	2239.14990234	3968	0.243000000715	2.27999997139	7.45889997482	1	0	8	0	0.0010000000475	0	{'a1': 19.2957, 'c': 5.328, 'b4': 98.606201, 'a3': 4.73425, 'a2': 14.3501, 'a4': 1.28918, 'b2': 8.21758, 'b3': 25.874901, 'b1': 0.751536}	3200	8000
86	Radon	Rn	18	6	222	0.00973000004888	-1	120	-1	145	202.149993896	211.300003052	0.0939999967813	2.20000004768	10.7484998703	0	0	0	0	0.0010000000475	0	{'a1': 35.563099, 'c': 13.6905, 'b4': 44.247299, 'a3': 8.0037, 'a2': 21.281601, 'a4': 7.4433, 'b2': 4.0691, 'b3': 14.0422, 'b1': 0.6631}	0	0
44	Ruthenium	Ru	8	5	101.069999695	12.3699998856	13.7100000381	130	-1	126	2523.14990234	4423	0.238000005484	2.20000004768	7.36049985886	1	0	7	0	0.0010000000475	0	{'a1': 19.267401, 'c': 5.37874, 'b4': 94.292801, 'a3': 4.86337, 'a2': 12.9182, 'a4': 1.56756, 'b2': 8.43467, 'b3': 24.7997, 'b1': 0.80852}	3200	8000
16	Sulfur	S	16	3	32.0649986267	2.06699991226	28.0034999847	100	180	102	388.510009766	717.799987793	0.709999978542	2.57999992371	10.3599996567	2	4	0	0	350	0	{'a1': 6.9053, 'c': 0.8669, 'b4': 56.172001, 'a3': 1.4379, 'a2': 5.2034, 'a4': 1.5863, 'b2': 22.215099, 'b3': 0.2536, 'b1': 1.4679}	700	1000
51	Antimony	Sb	15	5	121.760002136	6.68499994278	31.6299991608	145	-1	138	904.049987793	1860	0.207000002265	2.04999995232	8.60840034485	2	3	10	0	0.20000000298	0	{'a1': 19.6418, 'c': 4.5909, 'b4': 75.282501, 'a3': 5.0371, 'a2': 19.0455, 'a4': 2.6827, 'b2': 0.4607, 'b3': 27.9074, 'b1': 5.3034}	7900	3400
21	Scandium	Sc	3	4	44.9558982849	2.98900008202	23.7450008392	160	-1	144	1812.15002441	3109	0.568000018597	1.36000001431	6.56150007248	2	0	1	0	22	0	{'a1': 9.189, 'c': 1.3329, 'b4': 51.3531, 'a3': 1.6409, 'a2': 7.3679, 'a4': 1.468, 'b2': 0.5729, 'b3': 136.108002, 'b1': 9.0213}	5500	4500
34	Selenium	Se	16	4	78.9599990845	4.80900001526	27.4433002472	115	190	116	494.149993896	958	0.321000009775	2.54999995232	9.75238037109	2	4	10	0	0.0500000007451	0	{'a1': 17.000601, 'c': 2.8409, 'b4': 43.816299, 'a3': 3.9731, 'a2': 5.8196, 'a4': 4.3543, 'b2': 0.2726, 'b3': 15.2372, 'b1': 2.4098}	2200	1900
106	Seaborgium	Sg	6	7	266	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
14	Silicon	Si	14	3	28.0855007172	2.32960009575	20.4099998474	110	210	111	1683.15002441	3538	0.704999983311	1.89999997616	8.15168952942	2	2	0	0	282000	0	{'a1': 6.2915, 'c': 1.1407, 'b4': 81.693703, 'a3': 1.9891, 'a2': 3.0353, 'a4': 1.541, 'b2': 32.333698, 'b3': 0.6785, 'b1': 2.4386}	4700	1000
62	Samarium	Sm	0	6	150.36000061	7.51999998093	34.0625	185	-1	-1	1345.15002441	2067	0.196999996901	1.16999995708	5.64359998703	2	0	0	6	7.05000019073	0	{'a1': 24.0042, 'c': 2.20963, 'b4': 128.007004, 'a3': 13.4396, 'a2': 19.4258, 'a4': 2.89604, 'b2': 0.196451, 'b3': 14.3996, 'b1': 2.47274}	9500	3100
50	Tin	Sn	14	5	118.709999084	7.28700017929	36.1500015259	145	217	141	505.209991455	2875	0.228000000119	1.96000003815	7.3439002037	2	2	10	0	2.29999995232	0	{'a1': 19.1889, 'c': 4.7821, 'b4': 83.9571, 'a3': 4.4585, 'a2': 19.1005, 'a4': 2.4663, 'b2': 0.5031, 'b3': 26.8909, 'b1': 5.8303}	2600	1600
38	Strontium	Sr	2	5	87.6200027466	2.6400001049	53.9399986267	200	-1	192	1042.15002441	1655	0.300999999046	0.949999988079	5.69490003586	2	0	0	0	370	0	{'a1': 17.566299, 'c': 2.5064, 'b4': 132.376007, 'a3': 5.422, 'a2': 9.8184, 'a4': 2.6694, 'b2': 14.0988, 'b3': 0.1664, 'b1': 1.5564}	4200	3000
73	Tantalum	Ta	5	6	180.947998047	16.6539993286	18.2299995422	145	-1	138	3269.14990234	5731	0.140000000596	1.5	7.54960012436	2	0	3	14	2	0	{'a1': 29.2024, 'c': 9.24354, 'b4': 63.364399, 'a3': 14.5135, 'a2': 15.2293, 'a4': 4.76492, 'b2': 9.37046, 'b3': 0.295977, 'b1': 1.77333}	2300	4800
65	Terbium	Tb	0	6	158.925003052	8.22900009155	31.9967002869	175	-1	-1	1630.15002441	3503	0.181999996305	1.20000004768	5.86380004883	2	0	0	9	1.20000004768	0	{'a1': 25.8976, 'c': 3.58924, 'b4': 115.362, 'a3': 14.3167, 'a2': 18.2185, 'a4': 2.95354, 'b2': 0.196143, 'b3': 12.6648, 'b1': 2.24256}	9500	3100
43	Technetium	Tc	7	5	98	11.5	14.5	135	-1	156	2473.14990234	5150	-1	1.89999997616	7.28000020981	2	0	5	0	0.0010000000475	0	{'a1': 19.1301, 'c': 5.40428, 'b4': 86.847198, 'a3': 4.64901, 'a2': 11.0948, 'a4': 2.71263, 'b2': 8.14487, 'b3': 21.5707, 'b1': 0.864132}	0	0
52	Tellurium	Te	16	5	127.599998474	6.23199987411	34.7200012207	140	206	135	722.799987793	1261	0.202000007033	2.09999990463	9.00959968567	2	4	10	0	0.0010000000475	0	{'a1': 19.964399, 'c': 4.352, 'b4': 70.840302, 'a3': 6.14487, 'a2': 19.0138, 'a4': 2.5239, 'b2': 0.420885, 'b3': 28.5284, 'b1': 4.81742}	2900	4900
90	Thorium	Th	0	7	232.037994385	11.720000267	32.1500015259	180	-1	-1	2028.15002441	5061	0.112999998033	1.29999995232	6.30670022964	2	0	2	0	9.60000038147	0	{'a1': 35.564499, 'c': 13.4314, 'b4': 99.172203, 'a3': 12.7473, 'a2': 23.4219, 'a4': 4.80703, 'b2': 3.46204, 'b3': 17.8309, 'b1': 0.563359}	0	0
22	Titanium	Ti	4	4	47.8670005798	4.53999996185	16.7567005157	140	-1	136	1933.15002441	3560	0.523000001907	1.53999996185	6.82810020447	2	0	2	0	5650	0	{'a1': 9.7595, 'c': 1.2807, 'b4': 116.105003, 'a3': 1.6991, 'a2': 7.3558, 'a4': 1.9021, 'b2': 0.5, 'b3': 35.633801, 'b1': 7.8508}	1100	1600
81	Thallium	Tl	13	6	204.382995605	11.8500003815	31.2800006866	190	196	148	577.150024414	1746	0.128999993205	1.62000000477	6.10820007324	2	1	10	14	0.850000023842	0	{'a1': 27.5446, 'c': 13.1746, 'b4': 45.814899, 'a3': 15.538, 'a2': 19.1584, 'a4': 5.52593, 'b2': 8.70751, 'b3': 1.96347, 'b1': 0.65515}	6500	6500
69	Thulium	Tm	0	6	168.934005737	9.32100009918	30.3799991608	175	-1	-1	1818.15002441	2223	0.159999996424	1.25	6.18430995941	2	0	0	13	0.519999980927	0	{'a1': 28.1819, 'c': 6.75621, 'b4': 102.960999, 'a3': 15.1542, 'a2': 15.8851, 'a4': 2.98706, 'b2': 0.238849, 'b3': 10.9975, 'b1': 2.02859}	9500	3100
92	Uranium	U	0	7	238.029006958	18.9500007629	20.0300006866	175	186	-1	1405.15002441	4404	0.115999996662	1.37999999523	6.19404983521	2	0	1	3	2.70000004768	0	{'a1': 36.0228, 'c': 13.3966, 'b4': 100.612999, 'a3': 14.9491, 'a2': 23.4128, 'a4': 4.188, 'b2': 3.3253, 'b3': 16.092699, 'b1': 0.5293}	0	0
23	Vanadium	V	5	4	50.9415016174	6.11000013351	13.1300001144	135	-1	125	2175.14990234	3680	0.488999992609	1.62999999523	6.74620008469	2	0	3	0	120	0	{'a1': 10.2971, 'c': 1.2199, 'b4': 102.477997, 'a3': 2.0703, 'a2': 7.3511, 'a4': 2.0571, 'b2': 0.4385, 'b3': 26.893801, 'b1': 6.8657}	3300	3400
74	Tungsten	W	6	6	183.839996338	19.25	16.1399993896	135	-1	146	3680.14990234	5828	0.131999999285	2.3599998951	7.8639998436	2	0	4	14	1.29999995232	0	{'a1': 29.0818, 'c': 9.8875, 'b4': 57.056, 'a3': 14.4327, 'a2': 15.43, 'a4': 5.11982, 'b2': 9.2259, 'b3': 0.321703, 'b1': 1.72029}	7000	4300
54	Xenon	Xe	18	5	131.292999268	0.00588699989021	58.506	108	216	130	161.449996948	165.029998779	0.158000007272	2.59999990463	12.1297998428	0	0	0	0	0.0010000000475	0	{'a1': 20.293301, 'c': 3.7118, 'b4': 64.2658, 'a3': 8.9767, 'a2': 19.0298, 'a4': 1.99, 'b2': 0.344, 'b3': 26.4659, 'b1': 3.9282}	0	0
39	Yttrium	Y	3	5	88.9058990479	4.46899986267	32.5400009155	180	-1	162	1799.15002441	3609	0.298000007868	1.22000002861	6.21710014343	2	0	1	0	33	0	{'a1': 17.775999, 'c': 1.91213, 'b4': 104.353996, 'a3': 5.72629, 'a2': 10.2946, 'a4': 3.26588, 'b2': 12.8006, 'b3': 0.125599, 'b1': 1.4029}	9800	2600
70	Ytterbium	Yb	0	6	173.054000854	6.96500015259	40.2299995422	175	-1	-1	1097.15002441	1469	0.155000001192	1.10000002384	6.25415992737	2	0	0	14	3.20000004768	0	{'a1': 28.664101, 'c': 7.56672, 'b4': 100.417, 'a3': 15.3087, 'a2': 15.4345, 'a4': 2.98963, 'b2': 0.257119, 'b3': 10.6647, 'b1': 1.9889}	9500	3100
30	Zinc	Zn	12	4	65.3799972534	7.13399982452	14.8249998093	135	139	131	692.880004883	1180	0.388000011444	1.64999997616	9.39420032501	2	0	10	0	70	0	{'a1': 14.0743, 'c': 1.3041, 'b4': 58.709702, 'a3': 5.1652, 'a2': 7.0318, 'a4': 2.41, 'b2': 0.2333, 'b3': 10.3163, 'b1': 3.2655}	1600	1900
40	Zirconium	Zr	4	5	91.2239990234	6.50600004196	23.3899993896	155	-1	148	2125.14990234	4682	0.277999997139	1.33000004292	6.63390016556	2	0	2	0	165	0	{'a1': 17.876499, 'c': 2.06929, 'b4': 87.662697, 'a3': 5.41732, 'a2': 10.948, 'a4': 3.65721, 'b2': 11.916, 'b3': 0.117622, 'b1': 1.27618}	3400	2600
