z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
63	Europium	Eu	0	6	151.964004517	5.24300003052	44.5200004578	185	-1	-1	1095.15002441	1802	0.181999996305	1.20000004768	5.67040014267	2	0	0	7	2	0	{'a1': 24.627399, 'c': 2.5745, 'b4': 123.174004, 'a3': 13.7603, 'a2': 19.0886, 'a4': 2.9227, 'b2': 0.1942, 'b3': 13.7546, 'b1': 2.3879}	9500	3100
9	Fluorine	F	17	2	18.9983997345	0.00169599999208	19.5699996948	50	147	71	53.6300010681	85.0299987793	0.824000000954	3.98000001907	17.4228000641	4	5	0	0	585	0	{'a1': 3.5392, 'c': 0.2776, 'b4': 26.1476, 'a3': 1.517, 'a2': 2.6412, 'a4': 1.0243, 'b2': 4.2944, 'b3': 0.2615, 'b1': 10.2825}	1500	1500
26	Iron	Fe	8	4	55.8450012207	7.87400007248	11.1599998474	140	-1	125	1808.15002441	3134	0.449000000954	1.83000004292	7.90240001678	2	0	6	0	56300	0	{'a1': 11.7695, 'c': 1.0369, 'b4': 76.880501, 'a3': 3.5222, 'a2': 7.3573, 'a4': 2.3045, 'b2': 0.3072, 'b3': 15.3535, 'b1': 4.7611}	2400	1400
100	Fermium	Fm	0	7	257	-1	-1	-1	-1	-1	-1	-1	-1	1.29999995232	6.5	0	0	0	0	0	0	NULL	0	0
87	Francium	Fr	1	7	223	1.87000000477	-1	-1	-1	-1	300.149993896	950	-1	0.699999988079	4.07270002365	0	0	0	0	0.0010000000475	0	{'a1': 35.929901, 'c': 13.7247, 'b4': 150.645004, 'a3': 12.1439, 'a2': 23.054701, 'a4': 2.11253, 'b2': 4.17619, 'b3': 23.1052, 'b1': 0.646453}	0	0
31	Gallium	Ga	13	4	69.7229995728	5.90700006485	20.0300006866	130	187	126	302.910003662	2477	0.370999991894	1.80999994278	5.99930000305	2	1	10	0	19	0	{'a1': 15.2354, 'c': 1.7189, 'b4': 61.413502, 'a3': 4.3591, 'a2': 6.7006, 'a4': 2.9623, 'b2': 0.2412, 'b3': 10.7805, 'b1': 3.0669}	5500	1900
64	Gadolinium	Gd	0	6	157.25	7.89499998093	32.5299987793	180	-1	-1	1585.15002441	3546	0.236000001431	1.20000004768	6.15010023117	2	0	1	7	6.19999980927	0	{'a1': 25.0709, 'c': 2.4196, 'b4': 101.398003, 'a3': 13.8518, 'a2': 19.0798, 'a4': 3.54545, 'b2': 0.181951, 'b3': 12.9331, 'b1': 2.25341}	9500	3100
32	Germanium	Ge	14	4	72.6399993896	5.32299995422	23.8400001526	125	-1	122	1211.44995117	3106	0.319999992847	2.00999999046	7.89940023422	2	2	10	0	1.5	0	{'a1': 16.0816, 'c': 2.1313, 'b4': 54.762501, 'a3': 3.7068, 'a2': 6.3747, 'a4': 3.683, 'b2': 0.2516, 'b3': 11.4468, 'b1': 2.8509}	5300	1900
1	Hydrogen	H	1	1	1.00794005394	0.0000898799989955	9.64875030518	25	120	38	14.1750001907	20.2800006866	14.3039999008	2.20000004768	13.598400116	1	0	0	0	1400	0	{'a1': 0.489918, 'c': 0.001305, 'b4': 2.20159, 'a3': 0.196767, 'a2': 0.262003, 'a4': 0.049879, 'b2': 7.74039, 'b3': 49.551899, 'b1': 20.6593}	0	0
2	Helium	He	18	1	4.00260019302	0.000178500005859	15.5200004578	31	140	32	-1	4.21999979019	5.19299983978	0	24.5874004364	2	0	0	0	0.00800000037998	0	{'a1': 0.8734, 'c': 0.0064, 'b4': 0.9821, 'a3': 0.3112, 'a2': 0.6309, 'a4': 0.178, 'b2': 3.3568, 'b3': 22.927601, 'b1': 9.1037}	3200	3900
